id,cast
238,jamescaan
872,genekelly
872,donaldo'connor
872,debbiereynolds
164,audreyhepburn
164,georgepeppard
164,patricianeal
426,jamesstewart
426,kimnovak
426,barbarabelgeddes
567,jamesstewart
567,gracekelly
567,wendellcorey
213,carygrant
213,evamariesaint
213,jamesmason
284,jacklemmon
284,shirleymaclaine
284,fredmacmurray
239,marilynmonroe
239,tonycurtis
239,jacklemmon
289,humphreybogart
289,ingridbergman
289,paulhenreid
963,humphreybogart
963,maryastor
963,gladysgeorge
804,gregorypeck
804,audreyhepburn
804,eddiealbert
630,judygarland
630,frankmorgan
630,raybolger
770,vivienleigh
770,clarkgable
770,oliviadehavilland
599,williamholden
599,gloriaswanson
599,erichvonstroheim
15,orsonwelles
15,josephcotten
15,dorothycomingore
62,keirdullea
62,garylockwood
62,williamsylvester
1585,jamesstewart
1585,donnareed
1585,lionelbarrymore
10331,duanejones
10331,juditho'dea
10331,karlhardman
864,leonrobinson
864,douge.doug
864,rawled.lewis
11224,ilenewoods
11224,eleanoraudley
11224,lucillebliss
9078,sebastiancabot
9078,karlswenson
9078,juniusmatthews
8367,kevincostner
8367,morganfreeman
8367,christianslater
433,julieandrews
433,dickvandyke
433,davidtomlinson
11360,sterlingholloway
11360,hermanbing
11360,johnmcleish
12092,kathrynbeaumont
12092,vernafelton
12092,edwynn
10948,mickeyrooney
10948,kurtrussell
10948,pearlbailey
15121,julieandrews
15121,christopherplummer
15121,eleanorparker
562,brucewillis
562,alanrickman
562,alexandergodunov
454,leonardodicaprio
454,clairedanes
454,johnleguizamo
819,robertdeniro
819,bradpitt
819,kevinbacon
11238,scottweinger
11238,lindalarkin
11238,robinwilliams
252,genewilder
252,jackalbertson
252,peterostrum
623,johncleese
623,jamieleecurtis
623,kevinkline
583,grahamchapman
583,johncleese
583,terrygilliam
521,raymilland
521,gracekelly
521,robertcummings
88,jennifergrey
88,patrickswayze
88,jerryorbach
500,harveykeitel
500,timroth
500,michaelmadsen
792,tomberenger
792,charliesheen
792,willemdafoe
402,michaeldouglas
402,sharonstone
402,georgedzundza
601,henrythomas
601,drewbarrymore
601,robertmacnaughton
744,tomcruise
744,kellymcgillis
744,valkilmer
2756,edharris
2756,maryelizabethmastrantonio
2756,michaelbiehn
1103,kurtrussell
1103,leevancleef
1103,ernestborgnine
762,grahamchapman
762,johncleese
762,terrygilliam
11216,philippenoiret
11216,jacquesperrin
11216,marcoleonardi
975,kirkdouglas
975,ralphmeeker
975,adolphemenjou
409,ralphfiennes
409,juliettebinoche
409,willemdafoe
510,jacknicholson
510,louisefletcher
510,dannydevito
1891,markhamill
1891,harrisonford
1891,carriefisher
2493,caryelwes
2493,robinwright
2493,mandypatinkin
85,harrisonford
85,karenallen
85,paulfreeman
68,jonathanpryce
68,robertdeniro
68,katherinehelmond
679,sigourneyweaver
679,michaelbiehn
679,jamesremar
429,eliwallach
429,clinteastwood
429,leevancleef
389,henryfonda
389,martinbalsam
389,johnfiedler
947,petero'toole
947,alecguinness
947,anthonyquinn
185,malcolmmcdowell
185,patrickmagee
185,adriennecorri
595,gregorypeck
595,brockpeters
595,jamesanderson
28,martinsheen
28,marlonbrando
28,robertduvall
335,henryfonda
335,claudiacardinale
335,jasonrobards
1892,markhamill
1892,harrisonford
1892,carriefisher
769,robertdeniro
769,rayliotta
769,joepesci
348,tomskerritt
348,sigourneyweaver
348,veronicacartwright
766,brucecampbell
766,embethdavidtz
766,marcusgilbert
539,anthonyperkins
539,veramiles
539,johngavin
525,danaykroyd
525,johnbelushi
525,jamesbrown
240,alpacino
240,robertduvall
240,dianekeaton
600,matthewmodine
600,adambaldwin
600,vincentd'onofrio
279,f.murrayabraham
279,tomhulce
279,elizabethberridge
311,robertdeniro
311,jameswoods
311,elizabethmcgovern
1578,robertdeniro
1578,joepesci
1578,cathymoriarty
703,woodyallen
703,dianekeaton
703,tonyroberts
387,jürgenprochnow
387,herbertgrönemeyer
387,klauswennemann
9277,paulnewman
9277,robertredford
9277,robertshaw
490,maxvonsydow
490,gunnarbjörnstrand
490,bengtekerot
218,arnoldschwarzenegger
218,michaelbiehn
218,lindahamilton
696,woodyallen
696,dianekeaton
696,michaelmurphy
207,robinwilliams
207,ethanhawke
207,robertseanleonard
37247,dustinhoffman
37247,annebancroft
37247,katharineross
9322,anneparillaud
9322,marcduret
9322,patrickfontana
826,williamholden
826,alecguinness
826,jackhawkins
829,jacknicholson
829,fayedunaway
829,johnhuston
694,jacknicholson
694,shelleyduvall
694,dannylloyd
235,wilwheaton
235,riverphoenix
235,coreyfeldman
832,peterlorre
832,ellenwidmann
832,ingelandgut
765,brucecampbell
765,sarahberry
765,danhicks
5925,stevemcqueen
5925,jamesgarner
5925,richardattenborough
11778,robertdeniro
11778,johncazale
11778,johnsavage
137,billmurray
137,andiemacdowell
137,chriselliott
33,clinteastwood
33,genehackman
33,morganfreeman
105,michaelj.fox
105,christopherlloyd
105,leathompson
8009,christopherlambert
8009,roxannehart
8009,clancybrown
3034,genewilder
3034,peterboyle
3034,martyfeldman
914,charliechaplin
914,jackoakie
914,reginaldgardiner
756,deemstaylor
756,waltdisney
756,juliettanovis
665,charltonheston
665,jackhawkins
665,hayaharareet
89,harrisonford
89,seanconnery
89,denholmelliott
783,benkingsley
783,candicebergen
783,edwardfox
642,paulnewman
642,robertredford
642,katharineross
639,megryan
639,billycrystal
639,carriefisher
8077,sigourneyweaver
8077,charless.dutton
8077,charlesdance
814,davidnaughton
814,jennyagutter
814,griffindunne
571,tippihedren
571,rodtaylor
571,suzannepleshette
6114,garyoldman
6114,winonaryder
6114,anthonyhopkins
1598,robertdeniro
1598,nicknolte
1598,jessicalange
7340,sissyspacek
7340,piperlaurie
7340,amyirving
377,johnsaxon
377,roneeblakley
377,heatherlangenkamp
794,gregorypeck
794,leeremick
794,davidwarner
199,patrickstewart
199,jonathanfrakes
199,brentspiner
9279,arnoldschwarzenegger
9279,philhartman
9279,sinbad
11674,glennclose
11674,jeffdaniels
11674,joelyrichardson
1573,brucewillis
1573,bonniebedelia
1573,williamatherton
152,williamshatner
152,leonardnimoy
152,deforestkelley
154,williamshatner
154,leonardnimoy
154,deforestkelley
157,williamshatner
157,leonardnimoy
157,deforestkelley
168,williamshatner
168,leonardnimoy
168,deforestkelley
364,michaelkeaton
364,dannydevito
364,michellepfeiffer
621,johntravolta
621,olivianewton-john
621,stockardchanning
578,royscheider
578,robertshaw
578,richarddreyfuss
75,jacknicholson
75,glennclose
75,annettebening
9390,tomcruise
9390,cubagoodingjr.
9390,renéezellweger
378,nicolascage
378,hollyhunter
378,treywilson
4232,davidarquette
4232,nevecampbell
4232,courteneycox
9361,danielday-lewis
9361,madeleinestowe
9361,russellmeans
9619,piercebrosnan
9619,lindahamilton
9619,jamierenéesmith
638,billpullman
638,patriciaarquette
638,johnroselius
9366,johnnydepp
9366,alpacino
9366,michaelmadsen
1624,jimcarrey
1624,mauratierney
1624,caryelwes
9360,jenniferlopez
9360,icecube
9360,jonvoight
816,mikemyers
816,elizabethhurley
816,michaelyork
18,brucewillis
18,garyoldman
18,ianholm
330,jeffgoldblum
330,juliannemoore
330,petepostlethwaite
1701,nicolascage
1701,johncusack
1701,johnmalkovich
1639,sandrabullock
1639,jasonpatric
1639,willemdafoe
415,georgeclooney
415,chriso'donnell
415,arnoldschwarzenegger
11970,tatedonovan
11970,joshkeaton
11970,rogerbart
8874,juliaroberts
8874,dermotmulroney
8874,camerondiaz
754,johntravolta
754,nicolascage
754,joanallen
607,tommyleejones
607,willsmith
607,lindafiorentino
686,jodiefoster
686,matthewmcconaughey
686,jameswoods
9387,arnoldschwarzenegger
9387,jamesearljones
9387,maxvonsydow
10603,brendanfraser
10603,lesliemann
10603,thomashadenchurch
8413,laurencefishburne
8413,samneill
8413,kathleenquinlan
8834,melgibson
8834,juliaroberts
8834,patrickstewart
9772,harrisonford
9772,garyoldman
9772,glennclose
1669,alecbaldwin
1669,seanconnery
1669,scottglenn
2118,kevinspacey
2118,guypearce
2118,dannydevito
978,bradpitt
978,jamyangjamtshowangchuk
978,davidthewlis
2649,michaeldouglas
2649,seanpenn
2649,deborahkaraunger
2255,benaffleck
2255,joeylaurenadams
2255,jasonlee
3597,jenniferlovehewitt
3597,sarahmichellegellar
3597,ryanphillippe
1813,keanureeves
1813,alpacino
1813,charlizetheron
782,ethanhawke
782,judelaw
782,gorevidal
1281,rowanatkinson
1281,petermacnicol
1281,johnmills
4995,markwahlberg
4995,burtreynolds
4995,johnc.reilly
563,caspervandien
563,dinameyer
563,deniserichards
37165,jimcarrey
37165,lauralinney
37165,noahemmerich
4824,brucewillis
4824,richardgere
4824,sidneypoitier
9444,megryan
9444,johncusack
9444,christopherlloyd
8078,sigourneyweaver
8078,winonaryder
8078,braddourif
9574,robinwilliams
9574,marciagayharden
9574,christophermcdonald
489,robinwilliams
489,mattdamon
489,benaffleck
9714,alexd.linz
9714,olekkrupa
9714,ryakihlstedt
4233,davidarquette
4233,nevecampbell
4233,courteneycox
597,katewinslet
597,leonardodicaprio
597,francesfisher
714,piercebrosnan
714,jonathanpryce
714,michelleyeoh
184,pamgrier
184,samuell.jackson
184,robertforster
115,jeffbridges
115,johngoodman
115,juliannemoore
2666,rufussewell
2666,williamhurt
2666,kiefersutherland
11003,adamsandler
11003,drewbarrymore
11003,christinetaylor
10153,dustinhoffman
10153,sharonstone
10153,samuell.jackson
2898,jacknicholson
2898,helenhunt
2898,gregkinnear
9313,leonardodicaprio
9313,jeremyirons
9313,gérarddepardieu
617,mattdillon
617,kevinbacon
617,deniserichards
795,nicolascage
795,megryan
795,andrebraugher
8656,robertduvall
8656,téaleoni
8656,elijahwood
929,matthewbroderick
929,jeanreno
929,mariapitillo
1878,johnnydepp
1878,beniciodeltoro
1878,tobeymaguire
10674,ming-nawen
10674,leasalonga
10674,eddiemurphy
846,davidduchovny
846,gilliananderson
846,mitchpileggi
3050,eddiemurphy
3050,ossiedavis
3050,oliverplatt
95,brucewillis
95,billybobthornton
95,benaffleck
944,melgibson
944,dannyglover
944,joepesci
11551,gregorysmith
11551,kirstendunst
11551,denisleary
473,seangullette
473,markmargolis
473,benshenkman
544,camerondiaz
544,benstiller
544,mattdillon
1051,genehackman
1051,fernandorey
1051,royscheider
1366,sylvesterstallone
1366,taliashire
1366,burtyoung
12102,dustinhoffman
12102,merylstreep
12102,janealexander
380,dustinhoffman
380,tomcruise
380,valeriagolino
13597,davidbowie
13597,jenniferconnelly
13597,tobyfroud
2108,emilioestevez
2108,anthonymichaelhall
2108,juddnelson
4488,betsypalmer
4488,adrienneking
4488,harrycrosby
948,donaldpleasence
948,jamieleecurtis
948,p.j.soles
10585,catherinehicks
10585,chrissarandon
10585,alexvincent
609,craigt.nelson
609,jobethwilliams
609,beatricestraight
9552,lindablair
9552,maxvonsydow
9552,ellenburstyn
941,melgibson
941,dannyglover
941,garybusey
942,melgibson
942,dannyglover
942,joepesci
943,melgibson
943,dannyglover
943,joepesci
927,zachgalligan
927,phoebecates
927,hoytaxton
928,zachgalligan
928,phoebecates
928,johnglover
9340,seanastin
9340,joshbrolin
9340,jeffcohen
9342,antoniobanderas
9342,anthonyhopkins
9342,catherinezeta-jones
19,brigittehelm
19,alfredabel
19,gustavfröhlich
165,michaelj.fox
165,christopherlloyd
165,leathompson
196,michaelj.fox
196,christopherlloyd
196,marysteenburgen
3170,donniedunagan
3170,peterbehn
3170,stanalexander
841,kylemaclachlan
841,francescaannis
841,leonardocimino
242,alpacino
242,dianekeaton
242,andygarcía
857,tomhanks
857,mattdamon
857,vindiesel
10439,bettemidler
10439,sarahjessicaparker
10439,kathynajimy
9354,rickmoranis
9354,marciastrassman
9354,mattfrewer
9631,samuell.jackson
9631,kevinspacey
9631,davidmorse
9820,lindsaylohan
9820,dennisquaid
9820,natasharichardson
793,isabellarossellini
793,kylemaclachlan
793,dennishopper
9325,brucereitherman
9325,philharris
9325,sebastiancabot
10340,peggylee
10340,barbaraluddy
10340,larryroberts
10144,jodibenson
10144,christopherdanielbarnes
10144,jasonmarin
12230,rodtaylor
12230,j.pato'malley
12230,bettylougerson
10693,bobbydriscoll
10693,kathrynbeaumont
10693,hansconried
11319,bobnewhart
11319,evagabor
11319,geraldinepage
15969,scottweinger
15969,lindalarkin
15969,jonathanfreeman
10882,marycosta
10882,billshirley
10882,eleanoraudley
97,jeffbridges
97,bruceboxleitner
97,davidwarner
87,harrisonford
87,katecapshaw
87,jonathankequan
2907,raúljuliá
2907,anjelicahuston
2907,christopherlloyd
15144,mollyringwald
15144,justinhenry
15144,michaelschoeffling
805,miafarrow
805,johncassavetes
805,ruthgordon
34584,barretoliver
34584,geraldmcraney
34584,noahhathaway
36647,wesleysnipes
36647,stephendorff
36647,kriskristofferson
4011,geenadavis
4011,alecbaldwin
4011,winonaryder
1580,jamesstewart
1580,johndall
1580,farleygranger
847,warwickdavis
847,valkilmer
847,joannewhalley
117,kevincostner
117,seanconnery
117,charlesmartinsmith
10220,mattdamon
10220,johnturturro
10220,gretchenmol
431,nicoledeboer
431,nickyguadagni
431,davidhewlett
881,tomcruise
881,jacknicholson
881,demimoore
2109,jackiechan
2109,christucker
2109,kenleung
8195,robertdeniro
8195,jeanreno
8195,nataschamcelhone
1091,kurtrussell
1091,keithdavid
1091,wilfordbrimley
162,johnnydepp
162,winonaryder
162,diannewiest
8916,woodyallen
8916,danaykroyd
8916,annebancroft
12159,robinwilliams
12159,cubagoodingjr.
12159,annabellasciorra
1955,anthonyhopkins
1955,johnhurt
1955,annebancroft
2657,tobeymaguire
2657,reesewitherspoon
2657,williamh.macy
637,nicolettabraschi
637,robertobenigni
637,giorgiocantarini
73,edwardnorton
73,edwardfurlong
73,beverlyd'angelo
10663,adamsandler
10663,kathybates
10663,fairuzabalk
297,bradpitt
297,anthonyhopkins
297,claireforlani
9798,willsmith
9798,genehackman
9798,jonvoight
9487,kevinspacey
9487,julialouis-dreyfus
9487,haydenpanettiere
707,rogermoore
707,christopherwalken
707,tanyaroberts
9336,steveguttenberg
9336,kimcattrall
9336,g.w.bailey
9837,valkilmer
9837,ralphfiennes
9837,patrickstewart
11545,jasonschwartzman
11545,oliviawilliams
11545,billmurray
1934,josephfiennes
1934,gwynethpaltrow
1934,geoffreyrush
1369,sylvesterstallone
1369,richardcrenna
1369,charlesnapier
1368,sylvesterstallone
1368,richardcrenna
1368,briandennehy
1370,sylvesterstallone
1370,richardcrenna
1370,kurtwoodsmith
9326,michaeldouglas
9326,kathleenturner
9326,dannydevito
1367,sylvesterstallone
1367,taliashire
1367,burtyoung
1371,sylvesterstallone
1371,taliashire
1371,burtyoung
1374,sylvesterstallone
1374,taliashire
1374,burtyoung
1375,sylvesterstallone
1375,taliashire
1375,burtyoung
1885,ralphmacchio
1885,patmorita
1885,williamzabka
8856,ralphmacchio
8856,patmorita
8856,martinkove
5825,chevychase
5825,beverlyd'angelo
5825,randyquaid
9489,tomhanks
9489,megryan
9489,katiesagona
8741,seanpenn
8741,adrienbrody
8741,jimcaviezel
9276,jordanabrewster
9276,elijahwood
9276,cleaduvall
10312,robinwilliams
10312,philipseymourhoffman
10312,bobgunton
9426,jeffgoldblum
9426,geenadavis
9426,johngetz
30497,marilynburns
30497,allendanziger
30497,paula.partain
192,seanconnery
192,christianslater
192,helmutqualtinger
9671,paulhogan
9671,lindakozlowski
9671,markblum
2112,melgibson
2112,kriskristofferson
2112,gregghenry
1542,ronlivingston
1542,jenniferaniston
1542,davidherman
8224,nicolascage
8224,joaquinphoenix
8224,jamesgandolfini
871,charltonheston
871,roddymcdowall
871,kimhunter
9535,robertdeniro
9535,billycrystal
9535,lisakudrow
796,sarahmichellegellar
796,ryanphillippe
796,reesewitherspoon
100,jasonflemyng
100,dexterfletcher
100,nickmoran
603,keanureeves
603,laurencefishburne
603,carrie-annemoss
4951,heathledger
4951,juliastiles
4951,josephgordon-levitt
1946,jenniferjasonleigh
1946,judelaw
1946,ianholm
1844,seanconnery
1844,catherinezeta-jones
1844,willpatton
564,brendanfraser
564,rachelweisz
564,johnhannah
1893,liamneeson
1893,ewanmcgregor
1893,natalieportman
1924,christopherreeve
1924,marlonbrando
1924,margotkidder
8536,genehackman
8536,christopherreeve
8536,nedbeatty
9531,christopherreeve
9531,richardpryor
9531,jackiecooper
36685,timcurry
36685,susansarandon
36685,barrybostwick
509,juliaroberts
509,hughgrant
509,ginamckee
817,mikemyers
817,heathergraham
817,michaelyork
37135,tonygoldwyn
37135,glennclose
37135,minniedriver
10376,timroth
10376,pruitttaylorvince
10376,mélaniethierry
104,frankapotente
104,moritzbleibtreu
104,herbertknaup
9032,adamsandler
9032,joeylaurenadams
9032,kristyswanson
6488,jeffdaniels
6488,harleyjanekozak
6488,garetteratliffhenson
9473,treyparker
9473,mattstone
9473,marykaybergman
8487,willsmith
8487,kevinkline
8487,kennethbranagh
2105,jasonbiggs
2105,chrisklein
2105,thomasiannicholas
2667,michaelc.williams
2667,heatherdonahue
2667,joshualeonard
345,tomcruise
345,nicolekidman
345,madisoneginton
620,billmurray
620,danaykroyd
620,sigourneyweaver
2978,billmurray
2978,danaykroyd
2978,sigourneyweaver
8914,thomasjane
8914,saffronburrows
8914,llcoolj
4806,juliaroberts
4806,richardgere
4806,joancusack
967,kirkdouglas
967,laurenceolivier
967,jeansimmons
3175,ryano'neal
3175,marisaberenson
3175,hardykrüger
10386,elimarienthal
10386,jenniferaniston
10386,vindiesel
745,brucewillis
745,tonicollette
745,oliviawilliams
813,roberthays
813,juliehagerty
813,kareemabdul-jabbar
2280,tomhanks
2280,elizabethperkins
2280,robertloggia
1911,antoniobanderas
1911,vladimirkulich
1911,dennisstorhøi
14,kevinspacey
14,annettebening
14,thorabirch
10669,jonvoight
10669,burtreynolds
10669,nedbeatty
6415,georgeclooney
6415,markwahlberg
6415,icecube
861,arnoldschwarzenegger
861,sharonstone
861,rachelticotin
9377,matthewbroderick
9377,alanruck
9377,miasara
658,seanconnery
658,honorblackman
658,gertfröbe
657,seanconnery
657,danielabianchi
657,pedroarmendáriz
646,seanconnery
646,ursulaandress
646,josephwiseman
391,clinteastwood
391,mariannekoch
391,gianmariavolonté
772,macaulayculkin
772,joepesci
772,catherineo'hara
550,edwardnorton
550,bradpitt
550,meatloaf
5548,peterweller
5548,nancyallen
5548,ronnycox
5549,peterweller
5549,nancyallen
5549,tomnoonan
856,bobhoskins
856,christopherlloyd
856,joannacassidy
699,rogermoore
699,carolebouquet
699,chaimtopol
709,timothydalton
709,careylowell
709,robertdavi
253,rogermoore
253,yaphetkotto
253,janeseymour
660,seanconnery
660,claudineauger
660,adolfoceli
492,johncusack
492,camerondiaz
492,catherinekeener
9481,denzelwashington
9481,angelinajolie
9481,queenlatifah
9008,alpacino
9008,russellcrowe
9008,christopherplummer
37094,michaeldouglas
37094,robertduvall
37094,barbarahershey
957,melbrooks
957,rickmoranis
957,billpullman
11886,brianbedford
11886,philharris
11886,peterustinov
1621,eddiemurphy
1621,danaykroyd
1621,jamieleecurtis
1832,benaffleck
1832,mattdamon
1832,lindafiorentino
2668,johnnydepp
2668,ianmcdiarmid
2668,christinaricci
36643,piercebrosnan
36643,sophiemarceau
36643,robertcarlyle
11005,robertdeniro
11005,robinwilliams
11005,johnheard
9946,arnoldschwarzenegger
9946,gabrielbyrne
9946,kevinpollak
863,tomhanks
863,timallen
863,joancusack
497,tomhanks
497,michaelclarkeduncan
497,davidmorse
2277,robinwilliams
2277,samneill
2277,embethdavidtz
10137,michaelj.fox
10137,geenadavis
10137,hughlaurie
334,juliannemoore
334,williamh.macy
334,johnc.reilly
1850,jimcarrey
1850,courtneylove
1850,bobzmuda
926,timallen
926,sigourneyweaver
926,alanrickman
1213,mattdamon
1213,gwynethpaltrow
1213,judelaw
3558,winonaryder
3558,angelinajolie
3558,cleaduvall
5924,stevemcqueen
5924,dustinhoffman
5924,victorjory
2005,whoopigoldberg
2005,maggiesmith
2005,kathynajimy
9475,alpacino
9475,chriso'donnell
9475,jamesrebhorn
8872,mikemyers
8872,danacarvey
8872,roblowe
9869,harrisonford
9869,annearcher
9869,patrickbergin
619,whitneyhouston
619,kevincostner
619,michelelamarrichards
9374,merylstreep
9374,brucewillis
9374,goldiehawn
4234,davidarquette
4234,nevecampbell
4234,courteneycox
8374,willemdafoe
8374,normanreedus
8374,seanpatrickflanery
1907,leonardodicaprio
1907,guillaumecanet
1907,tildaswinton
2787,vindiesel
2787,radhamitchell
2787,colehauser
2069,brucewillis
2069,matthewperry
2069,rosannaarquette
901,charliechaplin
901,virginiacherrill
901,florencelee
622,johnnydepp
622,franklangella
622,lenaolin
968,alpacino
968,johncazale
968,charlesdurning
820,kevincostner
820,tommyleejones
820,garyoldman
462,juliaroberts
462,albertfinney
462,aaroneckhart
9532,devonsawa
9532,alilarter
9532,kerrsmith
1541,susansarandon
1541,geenadavis
1541,harveykeitel
1498,judithhoag
1498,eliaskoteas
1498,joshpais
801,robinwilliams
801,forestwhitaker
801,tungthanhtran
3082,charliechaplin
3082,paulettegoddard
3082,henrybergman
840,richarddreyfuss
840,françoistruffaut
840,terigarr
243,johncusack
243,ibenhjejle
243,toddlouiso
10501,kennethbranagh
10501,kevinkline
10501,rosieperez
879,robinwilliams
879,dustinhoffman
879,juliaroberts
1700,jamescaan
1700,kathybates
1700,richardfarnsworth
10559,dennisquaid
10559,jimcaviezel
10559,andrebraugher
106,arnoldschwarzenegger
106,carlweathers
106,elpidiacarrillo
1359,christianbale
1359,willemdafoe
1359,jaredleto
1443,jameswoods
1443,kathleenturner
1443,kirstendunst
