id,imdb_id,title,director,release_year,average_vote
9739,tt0106697,Demolition Man,marcobrambilla,1993,6
37233,tt0106918,The Firm,sydneypollack,1993,6
5503,tt0106977,The Fugitive,andrewdavis,1993,7
9255,tt0107144,Hot Shots! Part Deux,jimabrahams,1993,6
329,tt0107290,Jurassic Park,stevenspielberg,1993,7
9593,tt0107362,Last Action Hero,johnmctiernan,1993,6
788,tt0107614,Mrs. Doubtfire,chriscolumbus,1993,7
9800,tt0107818,Philadelphia,jonathandemme,1993,7
8005,tt0107977,Robin Hood: Men in Tights,melbrooks,1993,6
424,tt0108052,Schindler's List,stevenspielberg,1993,8
858,tt0108160,Sleepless in Seattle,noraephron,1993,6
78,tt0083658,Blade Runner,ridleyscott,1982,7
9479,tt0107688,The Nightmare Before Christmas,henryselick,1993,7
11969,tt0108358,Tombstone,georgep.cosmatos,1993,7
319,tt0108399,True Romance,tonyscott,1993,7
771,tt0099785,Home Alone,chriscolumbus,1990,7
251,tt0099653,Ghost,jerryzucker,1990,6
812,tt0103639,Aladdin,ronclements,1992,7
280,tt0103064,Terminator 2: Judgment Day,jamescameron,1991,7
581,tt0099348,Dances with Wolves,kevincostner,1990,7
268,tt0096895,Batman,timburton,1989,7
274,tt0102926,The Silence of the Lambs,jonathandemme,1991,8
408,tt0029583,Snow White and the Seven Dwarfs,davidhand,1937,6
10020,tt0101414,Beauty and the Beast,garytrousdale,1991,7
10895,tt0032910,Pinocchio,hamiltonluske,1940,6
114,tt0100405,Pretty Woman,garrymarshall,1990,7
275,tt0116282,Fargo,joelcoen,1996,7
10112,tt0065421,The Aristocats,wolfgangreitherman,1970,7
1592,tt0117381,Primal Fear,gregoryhoblit,1996,7
954,tt0117060,Mission: Impossible,briandepalma,1996,6
8840,tt0116136,DragonHeart,robcohen,1996,6
2300,tt0117705,Space Jam,joepytka,1996,6
9802,tt0117500,The Rock,michaelbay,1996,6
664,tt0117998,Twister,jandebont,1996,6
9323,tt0113568,Ghost in the Shell,mamoruoshii,1995,7
935,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,stanleykubrick,1964,8
627,tt0117951,Trainspotting,dannyboyle,1996,7
602,tt0116629,Independence Day,rolandemmerich,1996,6
10545,tt0116583,The Hunchback of Notre Dame,garytrousdale,1996,6
9894,tt0115798,The Cable Guy,benstiller,1996,5
9268,tt0116213,Eraser,chuckrussell,1996,5
9327,tt0117218,The Nutty Professor,tomshadyac,1996,5
1645,tt0117913,A Time to Kill,joelschumacher,1996,7
3595,tt0117438,Ransom,ronhoward,1996,6
10830,tt0117008,Matilda,dannydevito,1996,6
238,tt0068646,The Godfather,francisfordcoppola,1972,8
872,tt0045152,Singin' in the Rain,stanleydonen,1952,7
164,tt0054698,Breakfast at Tiffany's,blakeedwards,1961,7
426,tt0052357,Vertigo,alfredhitchcock,1958,8
567,tt0047396,Rear Window,alfredhitchcock,1954,8
213,tt0053125,North by Northwest,alfredhitchcock,1959,7
284,tt0053604,The Apartment,billywilder,1960,8
239,tt0053291,Some Like It Hot,billywilder,1959,8
289,tt0034583,Casablanca,michaelcurtiz,1942,7
963,tt0033870,The Maltese Falcon,johnhuston,1941,7
804,tt0046250,Roman Holiday,williamwyler,1953,7
630,tt0032138,The Wizard of Oz,victorfleming,1939,7
770,tt0031381,Gone with the Wind,victorfleming,1939,7
599,tt0043014,Sunset Boulevard,billywilder,1950,8
15,tt0033467,Citizen Kane,orsonwelles,1941,8
62,tt0062622,2001: A Space Odyssey,stanleykubrick,1968,7
1585,tt0038650,It's a Wonderful Life,frankcapra,1946,8
10331,tt0063350,Night of the Living Dead,georgea.romero,1968,7
864,tt0106611,Cool Runnings,jonturteltaub,1993,6
11224,tt0042332,Cinderella,clydegeronimi,1950,6
9078,tt0057546,The Sword in the Stone,wolfgangreitherman,1963,6
8367,tt0102798,Robin Hood: Prince of Thieves,kevinreynolds,1991,6
433,tt0058331,Mary Poppins,robertstevenson,1964,7
11360,tt0033563,Dumbo,samuelarmstrong,1941,6
12092,tt0043274,Alice in Wonderland,hamiltonluske,1951,7
10948,tt0082406,The Fox and the Hound,tedberman,1981,7
15121,tt0059742,The Sound of Music,robertwise,1965,7
562,tt0095016,Die Hard,johnmctiernan,1988,7
454,tt0117509,Romeo + Juliet,bazluhrmann,1996,6
819,tt0117665,Sleepers,barrylevinson,1996,7
11238,tt0115491,Aladdin and the King of Thieves,tadstones,1996,6
252,tt0067992,Willy Wonka & the Chocolate Factory,melstuart,1971,7
623,tt0095159,A Fish Called Wanda,charlescrichton,1988,7
583,tt0079470,Life of Brian,terryjones,1979,7
521,tt0046912,Dial M for Murder,alfredhitchcock,1954,7
88,tt0092890,Dirty Dancing,emileardolino,1987,7
500,tt0105236,Reservoir Dogs,quentintarantino,1992,8
792,tt0091763,Platoon,oliverstone,1986,7
402,tt0103772,Basic Instinct,paulverhoeven,1992,6
601,tt0083866,E.T. the Extra-Terrestrial,stevenspielberg,1982,7
744,tt0092099,Top Gun,tonyscott,1986,6
2756,tt0096754,The Abyss,jamescameron,1989,7
1103,tt0082340,Escape from New York,johncarpenter,1981,6
762,tt0071853,Monty Python and the Holy Grail,terrygilliam,1975,7
11216,tt0095765,Cinema Paradiso,giuseppetornatore,1988,8
975,tt0050825,Paths of Glory,stanleykubrick,1957,8
409,tt0116209,The English Patient,anthonyminghella,1996,7
510,tt0073486,One Flew Over the Cuckoo's Nest,milošforman,1975,8
1891,tt0080684,The Empire Strikes Back,irvinkershner,1980,8
2493,tt0093779,The Princess Bride,robreiner,1987,7
85,tt0082971,Raiders of the Lost Ark,stevenspielberg,1981,7
68,tt0088846,Brazil,terrygilliam,1985,7
679,tt0090605,Aliens,jamescameron,1986,7
429,tt0060196,"The Good, the Bad and the Ugly",sergioleone,1966,8
389,tt0050083,12 Angry Men,sidneylumet,1957,8
947,tt0056172,Lawrence of Arabia,davidlean,1962,7
185,tt0066921,A Clockwork Orange,stanleykubrick,1971,8
595,tt0056592,To Kill a Mockingbird,robertmulligan,1962,7
28,tt0078788,Apocalypse Now,francisfordcoppola,1979,8
335,tt0064116,Once Upon a Time in the West,sergioleone,1968,8
1892,tt0086190,Return of the Jedi,richardmarquand,1983,7
769,tt0099685,GoodFellas,martinscorsese,1990,8
348,tt0078748,Alien,ridleyscott,1979,7
766,tt0106308,Army of Darkness,samraimi,1992,7
539,tt0054215,Psycho,alfredhitchcock,1960,8
525,tt0080455,The Blues Brothers,johnlandis,1980,7
240,tt0071562,The Godfather: Part II,francisfordcoppola,1974,8
600,tt0093058,Full Metal Jacket,stanleykubrick,1987,7
279,tt0086879,Amadeus,milošforman,1984,7
311,tt0087843,Once Upon a Time in America,sergioleone,1984,8
1578,tt0081398,Raging Bull,martinscorsese,1980,7
703,tt0075686,Annie Hall,woodyallen,1977,7
387,tt0082096,Das Boot,wolfgangpetersen,1981,7
9277,tt0070735,The Sting,georgeroyhill,1973,7
490,tt0050976,The Seventh Seal,ingmarbergman,1957,7
218,tt0088247,The Terminator,jamescameron,1984,7
696,tt0079522,Manhattan,woodyallen,1979,7
207,tt0097165,Dead Poets Society,peterweir,1989,8
37247,tt0061722,The Graduate,mikenichols,1967,7
9322,tt0100263,La Femme Nikita,lucbesson,1990,7
826,tt0050212,The Bridge on the River Kwai,davidlean,1957,7
829,tt0071315,Chinatown,romanpolanski,1974,7
694,tt0081505,The Shining,stanleykubrick,1980,8
235,tt0092005,Stand by Me,robreiner,1986,7
832,tt0022100,M,fritzlang,1931,8
765,tt0092991,Evil Dead II,samraimi,1987,7
5925,tt0057115,The Great Escape,johnsturges,1963,7
11778,tt0077416,The Deer Hunter,michaelcimino,1978,7
137,tt0107048,Groundhog Day,haroldramis,1993,7
33,tt0105695,Unforgiven,clinteastwood,1992,7
105,tt0088763,Back to the Future,robertzemeckis,1985,8
8009,tt0091203,Highlander,russellmulcahy,1986,6
3034,tt0072431,Young Frankenstein,melbrooks,1974,7
914,tt0032553,The Great Dictator,charliechaplin,1940,8
756,tt0032455,Fantasia,samuelarmstrong,1940,7
665,tt0052618,Ben-Hur,williamwyler,1959,7
89,tt0097576,Indiana Jones and the Last Crusade,stevenspielberg,1989,7
783,tt0083987,Gandhi,richardattenborough,1982,7
642,tt0064115,Butch Cassidy and the Sundance Kid,georgeroyhill,1969,7
639,tt0098635,When Harry Met Sally...,robreiner,1989,7
8077,tt0103644,Alien³,davidfincher,1992,6
814,tt0082010,An American Werewolf in London,johnlandis,1981,7
571,tt0056869,The Birds,alfredhitchcock,1963,7
6114,tt0103874,Dracula,francisfordcoppola,1992,7
1598,tt0101540,Cape Fear,martinscorsese,1991,7
7340,tt0074285,Carrie,briandepalma,1976,7
377,tt0087800,A Nightmare on Elm Street,wescraven,1984,7
794,tt0075005,The Omen,richarddonner,1976,7
199,tt0117731,Star Trek: First Contact,jonathanfrakes,1996,7
9279,tt0116705,Jingle All the Way,brianlevant,1996,5
11674,tt0115433,101 Dalmatians,stephenherek,1996,5
1573,tt0099423,Die Hard 2,rennyharlin,1990,6
152,tt0079945,Star Trek: The Motion Picture,robertwise,1979,6
154,tt0084726,Star Trek II: The Wrath of Khan,nicholasmeyer,1982,7
157,tt0088170,Star Trek III: The Search for Spock,leonardnimoy,1984,6
168,tt0092007,Star Trek IV: The Voyage Home,leonardnimoy,1986,6
364,tt0103776,Batman Returns,timburton,1992,6
621,tt0077631,Grease,randalkleiser,1978,7
578,tt0073195,Jaws,stevenspielberg,1975,7
75,tt0116996,Mars Attacks!,timburton,1996,6
9390,tt0116695,Jerry Maguire,cameroncrowe,1996,6
378,tt0093822,Raising Arizona,joelcoen,1987,7
4232,tt0117571,Scream,wescraven,1996,7
9361,tt0104691,The Last of the Mohicans,michaelmann,1992,7
9619,tt0118928,Dante's Peak,rogerdonaldson,1997,5
638,tt0116922,Lost Highway,davidlynch,1997,7
9366,tt0119008,Donnie Brasco,mikenewell,1997,7
1624,tt0119528,Liar Liar,tomshadyac,1997,6
9360,tt0118615,Anaconda,luisllosa,1997,4
816,tt0118655,Austin Powers: International Man of Mystery,jayroach,1997,6
18,tt0119116,The Fifth Element,lucbesson,1997,7
330,tt0119567,The Lost World: Jurassic Park,stevenspielberg,1997,6
1701,tt0118880,Con Air,simonwest,1997,6
1639,tt0120179,Speed 2: Cruise Control,jandebont,1997,4
415,tt0118688,Batman & Robin,joelschumacher,1997,4
11970,tt0119282,Hercules,ronclements,1997,7
8874,tt0119738,My Best Friend's Wedding,p.j.hogan,1997,6
754,tt0119094,Face/Off,johnwoo,1997,6
607,tt0119654,Men in Black,barrysonnenfeld,1997,6
686,tt0118884,Contact,robertzemeckis,1997,7
9387,tt0082198,Conan the Barbarian,johnmilius,1982,6
10603,tt0119190,George of the Jungle,samweisman,1997,5
8413,tt0119081,Event Horizon,paulw.s.anderson,1997,6
8834,tt0118883,Conspiracy Theory,richarddonner,1997,6
9772,tt0118571,Air Force One,wolfgangpetersen,1997,6
1669,tt0099810,The Hunt for Red October,johnmctiernan,1990,7
2118,tt0119488,L.A. Confidential,curtishanson,1997,7
978,tt0120102,Seven Years in Tibet,jean-jacquesannaud,1997,7
2649,tt0119174,The Game,davidfincher,1997,7
2255,tt0118842,Chasing Amy,kevinsmith,1997,6
3597,tt0119345,I Know What You Did Last Summer,jimgillespie,1997,5
1813,tt0118971,The Devil's Advocate,taylorhackford,1997,7
782,tt0119177,Gattaca,andrewniccol,1997,7
1281,tt0118689,Bean,melsmith,1997,6
4995,tt0118749,Boogie Nights,paulthomasanderson,1997,7
563,tt0120201,Starship Troopers,paulverhoeven,1997,6
37165,tt0120382,The Truman Show,peterweir,1998,7
4824,tt0119395,The Jackal,michaelcaton-jones,1997,6
9444,tt0118617,Anastasia,garygoldman,1997,7
8078,tt0118583,Alien: Resurrection,jean-pierrejeunet,1997,5
9574,tt0119137,Flubber,lesmayfield,1997,5
489,tt0119217,Good Will Hunting,gusvansant,1997,7
9714,tt0119303,Home Alone 3,rajagosnell,1997,5
4233,tt0120082,Scream 2,wescraven,1997,6
597,tt0120338,Titanic,jamescameron,1997,7
714,tt0120347,Tomorrow Never Dies,rogerspottiswoode,1997,6
184,tt0119396,Jackie Brown,quentintarantino,1997,7
115,tt0118715,The Big Lebowski,joelcoen,1998,7
2666,tt0118929,Dark City,alexproyas,1998,7
11003,tt0120888,The Wedding Singer,frankcoraci,1998,6
10153,tt0120184,Sphere,barrylevinson,1998,5
2898,tt0119822,As Good as It Gets,jamesl.brooks,1997,7
9313,tt0120744,The Man in the Iron Mask,randallwallace,1998,6
617,tt0120890,Wild Things,johnmcnaughton,1998,6
795,tt0120632,City of Angels,bradsilberling,1998,6
8656,tt0120647,Deep Impact,mimileder,1998,5
929,tt0120685,Godzilla,rolandemmerich,1998,5
1878,tt0120669,Fear and Loathing in Las Vegas,terrygilliam,1998,7
10674,tt0120762,Mulan,tonybancroft,1998,7
846,tt0120902,The X Files,robbowman,1998,6
3050,tt0118998,Doctor Dolittle,bettythomas,1998,5
95,tt0120591,Armageddon,michaelbay,1998,6
944,tt0122151,Lethal Weapon 4,richarddonner,1998,6
11551,tt0122718,Small Soldiers,joedante,1998,6
473,tt0138704,Pi,darrenaronofsky,1998,7
544,tt0129387,There's Something About Mary,bobbyfarrelly,1998,6
1051,tt0067116,The French Connection,williamfriedkin,1971,7
1366,tt0075148,Rocky,johng.avildsen,1976,7
12102,tt0079417,Kramer vs. Kramer,robertbenton,1979,7
380,tt0095953,Rain Man,barrylevinson,1988,7
13597,tt0091369,Labyrinth,jimhenson,1986,7
2108,tt0088847,The Breakfast Club,johnhughes,1985,7
4488,tt0080761,Friday the 13th,seans.cunningham,1980,6
948,tt0077651,Halloween,johncarpenter,1978,7
10585,tt0094862,Child's Play,tomholland,1988,6
609,tt0084516,Poltergeist,tobehooper,1982,7
9552,tt0070047,The Exorcist,williamfriedkin,1973,7
941,tt0093409,Lethal Weapon,richarddonner,1987,7
942,tt0097733,Lethal Weapon 2,richarddonner,1989,6
943,tt0104714,Lethal Weapon 3,richarddonner,1992,6
927,tt0087363,Gremlins,joedante,1984,6
928,tt0099700,Gremlins 2: The New Batch,joedante,1990,6
9340,tt0089218,The Goonies,richarddonner,1985,7
9342,tt0120746,The Mask of Zorro,martincampbell,1998,6
19,tt0017136,Metropolis,fritzlang,1927,8
165,tt0096874,Back to the Future Part II,robertzemeckis,1989,7
196,tt0099088,Back to the Future Part III,robertzemeckis,1990,7
3170,tt0034492,Bambi,davidhand,1942,6
346,tt0047478,Seven Samurai,akirakurosawa,1954,8
841,tt0087182,Dune,davidlynch,1984,6
242,tt0099674,The Godfather: Part III,francisfordcoppola,1990,7
857,tt0120815,Saving Private Ryan,stevenspielberg,1998,7
10439,tt0107120,Hocus Pocus,kennyortega,1993,6
9354,tt0097523,"Honey, I Shrunk the Kids",joejohnston,1989,6
9631,tt0120768,The Negotiator,f.garygray,1998,6
9820,tt0120783,The Parent Trap,nancymeyers,1998,6
793,tt0090756,Blue Velvet,davidlynch,1986,7
9325,tt0061852,The Jungle Book,wolfgangreitherman,1967,7
10340,tt0048280,Lady and the Tramp,hamiltonluske,1955,6
10144,tt0097757,The Little Mermaid,ronclements,1989,7
12230,tt0055254,One Hundred and One Dalmatians,hamiltonluske,1961,6
10693,tt0046183,Peter Pan,clydegeronimi,1953,7
11319,tt0076618,The Rescuers,johnlounsbery,1977,6
15969,tt0107952,The Return of Jafar,alanzaslove,1994,5
10882,tt0053285,Sleeping Beauty,clydegeronimi,1959,6
97,tt0084827,Tron,stevenlisberger,1982,6
87,tt0087469,Indiana Jones and the Temple of Doom,stevenspielberg,1984,7
2907,tt0101272,The Addams Family,barrysonnenfeld,1991,6
15144,tt0088128,Sixteen Candles,johnhughes,1984,6
805,tt0063522,Rosemary's Baby,romanpolanski,1968,7
34584,tt0088323,The NeverEnding Story,wolfgangpetersen,1984,7
36647,tt0120611,Blade,stephennorrington,1998,6
4011,tt0094721,Beetlejuice,timburton,1988,7
1580,tt0040746,Rope,alfredhitchcock,1948,7
847,tt0096446,Willow,ronhoward,1988,6
117,tt0094226,The Untouchables,briandepalma,1987,7
10220,tt0128442,Rounders,johndahl,1998,6
431,tt0123755,Cube,vincenzonatali,1997,6
881,tt0104257,A Few Good Men,robreiner,1992,7
2109,tt0120812,Rush Hour,brettratner,1998,6
8195,tt0122690,Ronin,johnfrankenheimer,1998,6
1091,tt0084787,The Thing,johncarpenter,1982,7
162,tt0099487,Edward Scissorhands,timburton,1990,7
8916,tt0120587,Antz,ericdarnell,1998,6
12159,tt0120889,What Dreams May Come,vincentward,1998,6
1955,tt0080678,The Elephant Man,davidlynch,1980,7
2657,tt0120789,Pleasantville,garyross,1998,7
637,tt0118799,Life Is Beautiful,robertobenigni,1997,8
73,tt0120586,American History X,tonykaye,1998,8
10663,tt0120484,The Waterboy,frankcoraci,1998,5
297,tt0119643,Meet Joe Black,martinbrest,1998,6
9798,tt0120660,Enemy of the State,tonyscott,1998,6
9487,tt0120623,A Bug's Life,johnlasseter,1998,6
707,tt0090264,A View to a Kill,johnglen,1985,6
9336,tt0087928,Police Academy,hughwilson,1984,6
9837,tt0120794,The Prince of Egypt,brendachapman,1998,6
11545,tt0128445,Rushmore,wesanderson,1998,7
1934,tt0138097,Shakespeare in Love,johnmadden,1998,6
1369,tt0089880,Rambo: First Blood Part II,georgep.cosmatos,1985,6
1368,tt0083944,First Blood,tedkotcheff,1982,7
1370,tt0095956,Rambo III,petermacdonald,1988,5
9326,tt0088011,Romancing the Stone,robertzemeckis,1984,6
1367,tt0079817,Rocky II,sylvesterstallone,1979,6
1371,tt0084602,Rocky III,sylvesterstallone,1982,6
1374,tt0089927,Rocky IV,sylvesterstallone,1985,6
1375,tt0100507,Rocky V,johng.avildsen,1990,5
1885,tt0087538,The Karate Kid,johng.avildsen,1984,6
8856,tt0091326,"The Karate Kid, Part II",johng.avildsen,1986,5
5825,tt0097958,National Lampoon's Christmas Vacation,jeremiahs.chechik,1989,7
9489,tt0128853,You've Got Mail,noraephron,1998,6
8741,tt0120863,The Thin Red Line,terrencemalick,1998,7
9276,tt0133751,The Faculty,robertrodriguez,1998,6
10312,tt0129290,Patch Adams,tomshadyac,1998,7
9426,tt0091064,The Fly,davidcronenberg,1986,7
30497,tt0072271,The Texas Chain Saw Massacre,tobehooper,1974,7
192,tt0091605,The Name of the Rose,jean-jacquesannaud,1986,7
9671,tt0090555,Crocodile Dundee,peterfaiman,1986,6
2112,tt0120784,Payback,brianhelgeland,1999,6
1542,tt0151804,Office Space,mikejudge,1999,7
8224,tt0134273,8MM,joelschumacher,1999,6
871,tt0063442,Planet of the Apes,franklinj.schaffner,1968,7
9535,tt0122933,Analyze This,haroldramis,1999,6
796,tt0139134,Cruel Intentions,rogerkumble,1999,6
100,tt0120735,"Lock, Stock and Two Smoking Barrels",guyritchie,1998,7
603,tt0133093,The Matrix,lanawachowski,1999,7
4951,tt0147800,10 Things I Hate About You,giljunger,1999,7
1946,tt0120907,eXistenZ,davidcronenberg,1999,6
1844,tt0137494,Entrapment,jonamiel,1999,6
564,tt0120616,The Mummy,stephensommers,1999,6
1893,tt0120915,Star Wars: Episode I - The Phantom Menace,georgelucas,1999,6
1924,tt0078346,Superman,richarddonner,1978,6
8536,tt0081573,Superman II,richardlester,1980,6
9531,tt0086393,Superman III,richardlester,1983,5
36685,tt0073629,The Rocky Horror Picture Show,jimsharman,1975,7
509,tt0125439,Notting Hill,rogermichell,1999,7
817,tt0145660,Austin Powers: The Spy Who Shagged Me,jayroach,1999,6
37135,tt0120855,Tarzan,kevinlima,1999,7
10376,tt0120731,The Legend of 1900,giuseppetornatore,1998,8
104,tt0130827,Run Lola Run,tomtykwer,1998,7
9032,tt0142342,Big Daddy,dennisdugan,1999,6
6488,tt0099052,Arachnophobia,frankmarshall,1990,6
9473,tt0158983,"South Park: Bigger, Longer & Uncut",treyparker,1999,7
8487,tt0120891,Wild Wild West,barrysonnenfeld,1999,5
2105,tt0163651,American Pie,chrisweitz,1999,6
2667,tt0185937,The Blair Witch Project,danielmyrick,1999,6
345,tt0120663,Eyes Wide Shut,stanleykubrick,1999,7
620,tt0087332,Ghostbusters,ivanreitman,1984,7
2978,tt0097428,Ghostbusters II,ivanreitman,1989,6
8914,tt0149261,Deep Blue Sea,rennyharlin,1999,5
4806,tt0163187,Runaway Bride,garrymarshall,1999,5
967,tt0054331,Spartacus,stanleykubrick,1960,7
3175,tt0072684,Barry Lyndon,stanleykubrick,1975,7
10386,tt0129167,The Iron Giant,bradbird,1999,7
745,tt0167404,The Sixth Sense,m.nightshyamalan,1999,7
813,tt0080339,Airplane!,jimabrahams,1980,7
2280,tt0094737,Big,pennymarshall,1988,6
1911,tt0120657,The 13th Warrior,johnmctiernan,1999,6
14,tt0169547,American Beauty,sammendes,1999,7
10669,tt0068473,Deliverance,johnboorman,1972,7
6415,tt0120188,Three Kings,davido.russell,1999,6
861,tt0100802,Total Recall,paulverhoeven,1990,7
9377,tt0091042,Ferris Bueller's Day Off,johnhughes,1986,7
658,tt0058150,Goldfinger,guyhamilton,1964,7
657,tt0057076,From Russia with Love,terenceyoung,1963,6
646,tt0055928,Dr. No,terenceyoung,1962,6
391,tt0058461,A Fistful of Dollars,sergioleone,1964,7
772,tt0104431,Home Alone 2: Lost in New York,chriscolumbus,1992,6
550,tt0137523,Fight Club,davidfincher,1999,8
5548,tt0093870,RoboCop,paulverhoeven,1987,7
5549,tt0100502,RoboCop 2,irvinkershner,1990,5
856,tt0096438,Who Framed Roger Rabbit,robertzemeckis,1988,7
699,tt0082398,For Your Eyes Only,johnglen,1981,6
709,tt0097742,Licence to Kill,johnglen,1989,5
253,tt0070328,Live and Let Die,guyhamilton,1973,6
660,tt0059800,Thunderball,terenceyoung,1965,6
492,tt0120601,Being John Malkovich,spikejonze,1999,7
128,tt0119698,Princess Mononoke,hayaomiyazaki,1997,8
9481,tt0145681,The Bone Collector,phillipnoyce,1999,6
9008,tt0140352,The Insider,michaelmann,1999,7
37094,tt0106856,Falling Down,joelschumacher,1993,7
957,tt0094012,Spaceballs,melbrooks,1987,6
11886,tt0070608,Robin Hood,wolfgangreitherman,1973,7
1621,tt0086465,Trading Places,johnlandis,1983,7
1832,tt0120655,Dogma,kevinsmith,1999,6
2668,tt0162661,Sleepy Hollow,timburton,1999,6
36643,tt0143145,The World Is Not Enough,michaelapted,1999,6
11005,tt0099077,Awakenings,pennymarshall,1990,7
9946,tt0146675,End of Days,peterhyams,1999,5
863,tt0120363,Toy Story 2,johnlasseter,1999,7
497,tt0120689,The Green Mile,frankdarabont,1999,8
2277,tt0182789,Bicentennial Man,chriscolumbus,1999,6
10137,tt0164912,Stuart Little,robminkoff,1999,5
334,tt0175880,Magnolia,paulthomasanderson,1999,7
1850,tt0125664,Man on the Moon,milošforman,1999,6
926,tt0177789,Galaxy Quest,deanparisot,1999,6
1213,tt0134119,The Talented Mr. Ripley,anthonyminghella,1999,7
3558,tt0172493,"Girl, Interrupted",jamesmangold,1999,7
5924,tt0070511,Papillon,franklinj.schaffner,1973,7
2005,tt0105417,Sister Act,emileardolino,1992,6
9475,tt0105323,Scent of a Woman,martinbrest,1992,7
8872,tt0105793,Wayne's World,penelopespheeris,1992,6
9869,tt0105112,Patriot Games,phillipnoyce,1992,6
619,tt0103855,The Bodyguard,mickjackson,1992,6
9374,tt0104070,Death Becomes Her,robertzemeckis,1992,6
4234,tt0134084,Scream 3,wescraven,2000,5
8374,tt0144117,The Boondock Saints,troyduffy,1999,7
1907,tt0163978,The Beach,dannyboyle,2000,6
2787,tt0134847,Pitch Black,davidtwohy,2000,6
2069,tt0190138,The Whole Nine Yards,jonathanlynn,2000,6
901,tt0021749,City Lights,charliechaplin,1931,8
622,tt0142688,The Ninth Gate,romanpolanski,1999,6
968,tt0072890,Dog Day Afternoon,sidneylumet,1975,7
820,tt0102138,JFK,oliverstone,1991,7
462,tt0195685,Erin Brockovich,stevensoderbergh,2000,7
9532,tt0195714,Final Destination,jameswong,2000,6
1541,tt0103074,Thelma & Louise,ridleyscott,1991,7
