title,genre
E.T. the Extra-Terrestrial,Family
E.T. the Extra-Terrestrial,Fantasy
Top Gun,Action
Top Gun,Romance
Top Gun,War
The Abyss,Adventure
The Abyss,Action
The Abyss,Thriller
The Abyss,Science Fiction
Escape from New York,Science Fiction
Escape from New York,Action
Monty Python and the Holy Grail,Adventure
Monty Python and the Holy Grail,Comedy
Monty Python and the Holy Grail,Fantasy
Cinema Paradiso,Drama
Cinema Paradiso,Romance
Paths of Glory,Drama
Paths of Glory,War
The English Patient,Drama
The English Patient,Romance
The English Patient,War
One Flew Over the Cuckoo's Nest,Drama
The Empire Strikes Back,Adventure
The Empire Strikes Back,Action
The Empire Strikes Back,Science Fiction
The Princess Bride,Adventure
The Princess Bride,Family
The Princess Bride,Fantasy
The Princess Bride,Comedy
The Princess Bride,Romance
Raiders of the Lost Ark,Adventure
Raiders of the Lost Ark,Action
Brazil,Comedy
Brazil,Science Fiction
Aliens,Horror
Aliens,Action
Aliens,Thriller
Aliens,Science Fiction
"The Good, the Bad and the Ugly",Western
12 Angry Men,Drama
Lawrence of Arabia,Adventure
Lawrence of Arabia,Drama
Lawrence of Arabia,History
Lawrence of Arabia,War
A Clockwork Orange,Science Fiction
A Clockwork Orange,Drama
To Kill a Mockingbird,Crime
To Kill a Mockingbird,Drama
Apocalypse Now,Drama
Apocalypse Now,War
Once Upon a Time in the West,Western
Return of the Jedi,Adventure
Return of the Jedi,Action
Return of the Jedi,Science Fiction
GoodFellas,Drama
GoodFellas,Crime
Alien,Horror
Alien,Action
Alien,Thriller
Alien,Science Fiction
Army of Darkness,Fantasy
Army of Darkness,Horror
Army of Darkness,Comedy
Psycho,Drama
Psycho,Horror
Psycho,Thriller
The Blues Brothers,Music
The Blues Brothers,Comedy
The Blues Brothers,Action
The Blues Brothers,Crime
The Godfather: Part II,Drama
The Godfather: Part II,Crime
Full Metal Jacket,Drama
Full Metal Jacket,War
Amadeus,Drama
Amadeus,History
Amadeus,Music
Once Upon a Time in America,Drama
Once Upon a Time in America,Crime
Raging Bull,Drama
Annie Hall,Comedy
Annie Hall,Drama
Annie Hall,Romance
Das Boot,Action
Das Boot,Drama
Das Boot,History
Das Boot,War
Das Boot,Adventure
The Sting,Comedy
The Sting,Crime
The Sting,Drama
The Seventh Seal,Fantasy
The Seventh Seal,Drama
The Terminator,Action
The Terminator,Thriller
The Terminator,Science Fiction
Manhattan,Comedy
Manhattan,Drama
Manhattan,Romance
Dead Poets Society,Drama
The Graduate,Drama
La Femme Nikita,Action
La Femme Nikita,Thriller
The Bridge on the River Kwai,Drama
The Bridge on the River Kwai,History
The Bridge on the River Kwai,War
Chinatown,Crime
Chinatown,Drama
Chinatown,Mystery
Chinatown,Thriller
The Shining,Horror
The Shining,Thriller
Stand by Me,Crime
Stand by Me,Drama
M,Drama
M,Action
M,Thriller
M,Crime
Evil Dead II,Horror
Evil Dead II,Comedy
Evil Dead II,Fantasy
The Great Escape,Adventure
The Great Escape,Drama
The Great Escape,History
The Great Escape,Thriller
The Great Escape,War
The Deer Hunter,Drama
The Deer Hunter,War
Groundhog Day,Romance
Groundhog Day,Fantasy
Groundhog Day,Drama
Groundhog Day,Comedy
Unforgiven,Western
Back to the Future,Adventure
Back to the Future,Comedy
Back to the Future,Science Fiction
Back to the Future,Family
Highlander,Adventure
Highlander,Action
Highlander,Fantasy
Young Frankenstein,Comedy
Young Frankenstein,Science Fiction
The Great Dictator,Comedy
Fantasia,Animation
Fantasia,Family
Fantasia,Music
Ben-Hur,Action
Ben-Hur,Adventure
Ben-Hur,Drama
Ben-Hur,History
Indiana Jones and the Last Crusade,Adventure
Indiana Jones and the Last Crusade,Action
Gandhi,Drama
Gandhi,History
Butch Cassidy and the Sundance Kid,History
Butch Cassidy and the Sundance Kid,Drama
Butch Cassidy and the Sundance Kid,Western
Butch Cassidy and the Sundance Kid,Crime
When Harry Met Sally...,Comedy
When Harry Met Sally...,Romance
When Harry Met Sally...,Drama
Alien³,Science Fiction
Alien³,Action
Alien³,Horror
An American Werewolf in London,Horror
An American Werewolf in London,Comedy
The Birds,Horror
Dracula,Romance
Dracula,Horror
Cape Fear,Crime
Cape Fear,Thriller
Carrie,Horror
Carrie,Thriller
A Nightmare on Elm Street,Horror
The Omen,Horror
The Omen,Thriller
Star Trek: First Contact,Science Fiction
Star Trek: First Contact,Action
Star Trek: First Contact,Adventure
Star Trek: First Contact,Thriller
Jingle All the Way,Family
Jingle All the Way,Comedy
101 Dalmatians,Comedy
101 Dalmatians,Family
Die Hard 2,Action
Die Hard 2,Thriller
Star Trek: The Motion Picture,Science Fiction
Star Trek: The Motion Picture,Adventure
Star Trek: The Motion Picture,Mystery
Star Trek II: The Wrath of Khan,Action
Star Trek II: The Wrath of Khan,Adventure
Star Trek II: The Wrath of Khan,Science Fiction
Star Trek II: The Wrath of Khan,Thriller
Star Trek III: The Search for Spock,Science Fiction
Star Trek III: The Search for Spock,Action
Star Trek III: The Search for Spock,Adventure
Star Trek III: The Search for Spock,Thriller
Star Trek IV: The Voyage Home,Science Fiction
Star Trek IV: The Voyage Home,Adventure
Batman Returns,Action
Batman Returns,Fantasy
Grease,Romance
Jaws,Horror
Jaws,Thriller
Jaws,Adventure
Mars Attacks!,Comedy
Mars Attacks!,Fantasy
Mars Attacks!,Science Fiction
Jerry Maguire,Comedy
Jerry Maguire,Drama
Jerry Maguire,Romance
Raising Arizona,Comedy
Raising Arizona,Crime
Scream,Crime
Scream,Horror
Scream,Mystery
The Last of the Mohicans,Action
The Last of the Mohicans,Adventure
The Last of the Mohicans,Drama
The Last of the Mohicans,History
The Last of the Mohicans,Romance
The Last of the Mohicans,War
Dante's Peak,Action
Dante's Peak,Adventure
Dante's Peak,Thriller
Lost Highway,Drama
Lost Highway,Thriller
Lost Highway,Mystery
Donnie Brasco,Crime
Donnie Brasco,Drama
Donnie Brasco,Thriller
Liar Liar,Comedy
Anaconda,Adventure
Anaconda,Horror
Anaconda,Thriller
Austin Powers: International Man of Mystery,Science Fiction
Austin Powers: International Man of Mystery,Comedy
Austin Powers: International Man of Mystery,Crime
The Fifth Element,Adventure
The Fifth Element,Fantasy
The Fifth Element,Action
The Fifth Element,Thriller
The Fifth Element,Science Fiction
The Lost World: Jurassic Park,Adventure
The Lost World: Jurassic Park,Action
The Lost World: Jurassic Park,Science Fiction
Con Air,Action
Con Air,Thriller
Con Air,Crime
Speed 2: Cruise Control,Action
Speed 2: Cruise Control,Adventure
Speed 2: Cruise Control,Thriller
Batman & Robin,Action
Batman & Robin,Crime
Batman & Robin,Fantasy
Hercules,Animation
Hercules,Family
Hercules,Fantasy
Hercules,Adventure
Hercules,Comedy
Hercules,Romance
My Best Friend's Wedding,Comedy
My Best Friend's Wedding,Romance
Face/Off,Action
Face/Off,Crime
Face/Off,Science Fiction
Face/Off,Thriller
Men in Black,Action
Men in Black,Adventure
Men in Black,Comedy
Men in Black,Science Fiction
Contact,Drama
Contact,Science Fiction
Contact,Mystery
Conan the Barbarian,Adventure
Conan the Barbarian,Fantasy
Conan the Barbarian,Action
George of the Jungle,Adventure
George of the Jungle,Comedy
George of the Jungle,Family
George of the Jungle,Romance
Event Horizon,Horror
Event Horizon,Science Fiction
Event Horizon,Mystery
Conspiracy Theory,Action
Conspiracy Theory,Drama
Conspiracy Theory,Mystery
Conspiracy Theory,Thriller
Air Force One,Action
Air Force One,Thriller
The Hunt for Red October,Action
The Hunt for Red October,Adventure
The Hunt for Red October,Thriller
L.A. Confidential,Crime
L.A. Confidential,Drama
L.A. Confidential,Mystery
L.A. Confidential,Thriller
Seven Years in Tibet,Adventure
Seven Years in Tibet,Drama
Seven Years in Tibet,History
The Game,Drama
The Game,Thriller
The Game,Mystery
Chasing Amy,Comedy
Chasing Amy,Drama
Chasing Amy,Romance
I Know What You Did Last Summer,Horror
I Know What You Did Last Summer,Thriller
I Know What You Did Last Summer,Mystery
The Devil's Advocate,Drama
The Devil's Advocate,Horror
The Devil's Advocate,Mystery
The Devil's Advocate,Thriller
Gattaca,Thriller
Gattaca,Science Fiction
Gattaca,Mystery
Gattaca,Romance
Bean,Comedy
Boogie Nights,Drama
Starship Troopers,Adventure
Starship Troopers,Action
Starship Troopers,Thriller
Starship Troopers,Science Fiction
The Truman Show,Comedy
The Truman Show,Drama
The Jackal,Action
The Jackal,Thriller
The Jackal,Adventure
The Jackal,Crime
Anastasia,Animation
Anastasia,Family
Alien: Resurrection,Science Fiction
Alien: Resurrection,Horror
Alien: Resurrection,Action
Flubber,Comedy
Flubber,Family
Flubber,Science Fiction
Good Will Hunting,Drama
Home Alone 3,Comedy
Home Alone 3,Family
Scream 2,Horror
Scream 2,Mystery
Titanic,Drama
Titanic,Romance
Titanic,Thriller
Tomorrow Never Dies,Adventure
Tomorrow Never Dies,Action
Tomorrow Never Dies,Thriller
Jackie Brown,Comedy
Jackie Brown,Crime
Jackie Brown,Romance
The Big Lebowski,Comedy
The Big Lebowski,Crime
Dark City,Mystery
Dark City,Science Fiction
The Wedding Singer,Romance
The Wedding Singer,Comedy
Sphere,Science Fiction
As Good as It Gets,Comedy
As Good as It Gets,Romance
The Man in the Iron Mask,Action
The Man in the Iron Mask,Adventure
The Man in the Iron Mask,Drama
Wild Things,Thriller
City of Angels,Drama
City of Angels,Fantasy
City of Angels,Romance
Deep Impact,Action
Deep Impact,Drama
Deep Impact,Romance
Godzilla,Science Fiction
Godzilla,Action
Godzilla,Thriller
Fear and Loathing in Las Vegas,Adventure
Fear and Loathing in Las Vegas,Drama
Fear and Loathing in Las Vegas,Comedy
Mulan,Animation
Mulan,Family
Mulan,Adventure
The X Files,Mystery
The X Files,Science Fiction
The X Files,Thriller
Doctor Dolittle,Comedy
Doctor Dolittle,Family
Doctor Dolittle,Fantasy
Armageddon,Action
Armageddon,Thriller
Armageddon,Science Fiction
Armageddon,Adventure
Lethal Weapon 4,Action
Lethal Weapon 4,Adventure
Lethal Weapon 4,Comedy
Lethal Weapon 4,Crime
Lethal Weapon 4,Thriller
Small Soldiers,Comedy
Small Soldiers,Adventure
Small Soldiers,Fantasy
Small Soldiers,Science Fiction
Small Soldiers,Action
Pi,Mystery
Pi,Drama
Pi,Thriller
There's Something About Mary,Romance
There's Something About Mary,Comedy
The French Connection,Action
The French Connection,Crime
The French Connection,Thriller
Rocky,Drama
Kramer vs. Kramer,Drama
Rain Man,Drama
Labyrinth,Adventure
Labyrinth,Family
Labyrinth,Fantasy
The Breakfast Club,Comedy
The Breakfast Club,Drama
Friday the 13th,Horror
Halloween,Horror
Halloween,Thriller
Child's Play,Horror
Child's Play,Thriller
Poltergeist,Horror
The Exorcist,Drama
The Exorcist,Horror
The Exorcist,Thriller
Lethal Weapon,Adventure
Lethal Weapon,Action
Lethal Weapon,Comedy
Lethal Weapon,Thriller
Lethal Weapon,Crime
Lethal Weapon 2,Action
Lethal Weapon 2,Adventure
Lethal Weapon 2,Comedy
Lethal Weapon 2,Crime
Lethal Weapon 2,Thriller
Lethal Weapon 3,Adventure
Lethal Weapon 3,Action
Lethal Weapon 3,Comedy
Lethal Weapon 3,Thriller
Lethal Weapon 3,Crime
Gremlins,Fantasy
Gremlins,Horror
Gremlins,Comedy
Gremlins 2: The New Batch,Comedy
Gremlins 2: The New Batch,Horror
Gremlins 2: The New Batch,Fantasy
The Goonies,Adventure
The Goonies,Comedy
The Goonies,Family
The Mask of Zorro,Action
The Mask of Zorro,Adventure
Metropolis,Drama
Metropolis,Science Fiction
Back to the Future Part II,Adventure
Back to the Future Part II,Comedy
Back to the Future Part II,Family
Back to the Future Part II,Science Fiction
Back to the Future Part III,Adventure
Back to the Future Part III,Comedy
Back to the Future Part III,Family
Back to the Future Part III,Science Fiction
Bambi,Animation
Bambi,Drama
Bambi,Family
Seven Samurai,Action
Seven Samurai,Drama
Dune,Action
Dune,Science Fiction
Dune,Adventure
The Godfather: Part III,Crime
The Godfather: Part III,Drama
The Godfather: Part III,Thriller
Saving Private Ryan,Drama
Saving Private Ryan,History
Saving Private Ryan,War
Hocus Pocus,Comedy
Hocus Pocus,Family
Hocus Pocus,Fantasy
"Honey, I Shrunk the Kids",Adventure
"Honey, I Shrunk the Kids",Comedy
"Honey, I Shrunk the Kids",Family
"Honey, I Shrunk the Kids",Science Fiction
The Negotiator,Action
The Negotiator,Adventure
The Negotiator,Crime
The Negotiator,Drama
The Negotiator,Mystery
The Negotiator,Thriller
The Parent Trap,Comedy
The Parent Trap,Drama
The Parent Trap,Family
Blue Velvet,Crime
Blue Velvet,Drama
Blue Velvet,Mystery
Blue Velvet,Thriller
The Jungle Book,Family
The Jungle Book,Animation
The Jungle Book,Adventure
Lady and the Tramp,Family
Lady and the Tramp,Animation
The Little Mermaid,Animation
The Little Mermaid,Family
One Hundred and One Dalmatians,Adventure
One Hundred and One Dalmatians,Animation
One Hundred and One Dalmatians,Comedy
One Hundred and One Dalmatians,Family
Peter Pan,Animation
Peter Pan,Music
Peter Pan,Family
Peter Pan,Adventure
Peter Pan,Fantasy
The Rescuers,Fantasy
The Rescuers,Family
The Rescuers,Animation
The Rescuers,Adventure
The Return of Jafar,Family
The Return of Jafar,Adventure
The Return of Jafar,Animation
The Return of Jafar,Romance
Sleeping Beauty,Fantasy
Sleeping Beauty,Animation
Sleeping Beauty,Romance
Sleeping Beauty,Family
Tron,Science Fiction
Tron,Action
Tron,Adventure
Indiana Jones and the Temple of Doom,Adventure
Indiana Jones and the Temple of Doom,Action
The Addams Family,Horror
The Addams Family,Comedy
The Addams Family,Fantasy
Sixteen Candles,Comedy
Sixteen Candles,Romance
Rosemary's Baby,Horror
Rosemary's Baby,Drama
Rosemary's Baby,Mystery
The NeverEnding Story,Drama
The NeverEnding Story,Family
The NeverEnding Story,Fantasy
The NeverEnding Story,Adventure
Blade,Horror
Blade,Action
Beetlejuice,Fantasy
Beetlejuice,Comedy
Rope,Crime
Rope,Drama
Rope,Mystery
Rope,Thriller
Willow,Adventure
Willow,Drama
Willow,Action
The Untouchables,Crime
The Untouchables,Drama
The Untouchables,History
The Untouchables,Thriller
Rounders,Drama
Rounders,Crime
Cube,Thriller
Cube,Science Fiction
Cube,Mystery
A Few Good Men,Drama
Rush Hour,Action
Rush Hour,Comedy
Rush Hour,Crime
Rush Hour,Thriller
Ronin,Action
Ronin,Thriller
Ronin,Crime
Ronin,Adventure
The Thing,Horror
The Thing,Mystery
The Thing,Science Fiction
Edward Scissorhands,Fantasy
Edward Scissorhands,Drama
Edward Scissorhands,Romance
Antz,Adventure
Antz,Animation
Antz,Comedy
Antz,Family
What Dreams May Come,Drama
What Dreams May Come,Fantasy
What Dreams May Come,Romance
The Elephant Man,Drama
The Elephant Man,History
Pleasantville,Fantasy
Pleasantville,Drama
Pleasantville,Comedy
Life Is Beautiful,Comedy
Life Is Beautiful,Drama
American History X,Drama
The Waterboy,Comedy
Meet Joe Black,Fantasy
Meet Joe Black,Drama
Meet Joe Black,Mystery
Enemy of the State,Action
Enemy of the State,Drama
Enemy of the State,Thriller
A Bug's Life,Adventure
A Bug's Life,Animation
A Bug's Life,Comedy
A Bug's Life,Family
A View to a Kill,Adventure
A View to a Kill,Action
A View to a Kill,Thriller
Police Academy,Comedy
Police Academy,Crime
The Prince of Egypt,Adventure
The Prince of Egypt,Animation
The Prince of Egypt,Drama
The Prince of Egypt,Family
The Prince of Egypt,Music
Rushmore,Comedy
Rushmore,Drama
Shakespeare in Love,Romance
Shakespeare in Love,History
Rambo: First Blood Part II,Action
Rambo: First Blood Part II,Adventure
Rambo: First Blood Part II,Thriller
Rambo: First Blood Part II,War
First Blood,Action
First Blood,Adventure
First Blood,Thriller
First Blood,War
Rambo III,Action
Rambo III,Adventure
Rambo III,Thriller
Rambo III,War
Romancing the Stone,Action
Romancing the Stone,Adventure
Romancing the Stone,Comedy
Romancing the Stone,Romance
Rocky II,Drama
Rocky III,Drama
Rocky IV,Drama
Rocky V,Drama
The Karate Kid,Drama
"The Karate Kid, Part II",Adventure
"The Karate Kid, Part II",Drama
"The Karate Kid, Part II",Action
"The Karate Kid, Part II",Romance
"The Karate Kid, Part II",Family
National Lampoon's Christmas Vacation,Comedy
You've Got Mail,Comedy
You've Got Mail,Romance
The Thin Red Line,Drama
The Thin Red Line,History
The Thin Red Line,War
The Faculty,Horror
The Faculty,Mystery
The Faculty,Science Fiction
Patch Adams,Comedy
Patch Adams,Drama
The Fly,Horror
The Fly,Science Fiction
The Texas Chain Saw Massacre,Horror
The Name of the Rose,Drama
The Name of the Rose,Thriller
The Name of the Rose,Mystery
Crocodile Dundee,Adventure
Crocodile Dundee,Comedy
Payback,Drama
Payback,Action
Payback,Thriller
Payback,Crime
Office Space,Comedy
Office Space,Crime
8MM,Thriller
8MM,Crime
8MM,Mystery
Planet of the Apes,Science Fiction
Planet of the Apes,Adventure
Planet of the Apes,Drama
Planet of the Apes,Action
Analyze This,Comedy
Analyze This,Crime
Cruel Intentions,Drama
Cruel Intentions,Romance
Cruel Intentions,Thriller
"Lock, Stock and Two Smoking Barrels",Comedy
"Lock, Stock and Two Smoking Barrels",Crime
The Matrix,Action
The Matrix,Science Fiction
10 Things I Hate About You,Comedy
10 Things I Hate About You,Romance
10 Things I Hate About You,Drama
eXistenZ,Action
eXistenZ,Thriller
eXistenZ,Science Fiction
eXistenZ,Horror
Entrapment,Romance
Entrapment,Drama
